"","date_coll","date_frag","col_num","frag_letter","col_frag_num","tile_num","tile_position","sym_state_full","exp_num","exp_subrun","stand_beetag","peg_beetag","exp_1_beetag","exp_run_full","beetag_exprun","col_num.1","jar_unique_ID","PAM_avg_day1","PAM_avg_day11","PAM_delta","pam_percent_change","log_PAM_delta","treat_ID_full","treat_ID_collapsed_controls","treat_ID_without_sym","N_species","N_dose","N_species_dose","control_or_nutrient","temp","food","sym_state","food_sym_state"
"19","08_01_22","08_02_22",237,"E","237E",154,7,"APO",3,"A","B13","G3","B13G3","3A","B13G3_exp3A",237,129,0.496,0.342,-0.154,-0.310483871,-1.870802677,"N_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"20","06_29_22","06_30_22",183,"A","183A",125,6,"APO",1,"B","B22","G29","B22G29","1B","B22G29_exp1B",183,34,0.17,0.383,0.213,1.252941176,-1.546463113,"N_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"21","08_01_22","8_06_22",256,"G","256G",177,9,"SYM",3,"B","W1","O5","W1O5","3B","W1O5_exp3B",256,177,0.013,0.449,0.436,33.53846154,-0.830113036,"N_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"22","06_29_22","07_01_22",206,"K","206K",137,7,"SYM",2,"A","B25","G47","B25G47","2A","B25G47_exp2A",206,69,0.237,0.485,0.248,1.046413502,-1.394326533,"N_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"23","06_22_22","06_23_22",145,"F","145F",99,12,"SYM",1,"A","B14","G20","B14G20","1A","B14G20_exp1A",145,1,0.34,0.514,0.174,0.511764706,-1.74869998,"N_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"24","08_01_22","08_02_22",237,"BF","237BF",157,12,"APO",3,"A","B26","G50","B26G50","3A","B26G50_exp3A",237,134,0.3,0.437,0.137,0.456666667,-1.987774353,"N_0_30_S_A","CNTRL_0_30_S_A","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","A","S_A"
"25","08_01_22","08_03_22",240,"T","240T",162,14,"SYM",3,"A","B25","G47","B25G47","3A","B25G47_exp3A",240,133,0.416,0.386,-0.03,-0.072115385,-3.506557897,"N_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"26","06_22_22","06_25_22",166,"D","166D",112,14,"APO",1,"B","B23","G33","B23G33","1B","B23G33_exp1B",166,35,0.244,0.367,0.123,0.504098361,-2.095570924,"N_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"27","06_29_22","07_01_22",206,"B","206B",136,14,"APO",2,"A","B26","G49","B26G49","2A","B26G49_exp2A",206,70,0.369,0.398,0.029,0.078590786,-3.540459449,"N_0_30_S_A","CNTRL_0_30_S_A","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","A","S_A"
"28","06_29_22","06_30_22",168,"G","168G",115,9,"APO",1,"A","B27","G53","B27G53","1A","B27G53_exp1A",168,4,0.211,0.313,0.102,0.483412322,-2.282782466,"N_0_30_F_A","CNTRL_0_30_F_A","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","A","F_A"
"29","08_01_22","8_05_22",252,"O","252O",173,16,"SYM",3,"B","W2","O11","W2O11","3B","W2O11_exp3B",252,186,0.472,0.221,-0.251,-0.531779661,-1.38230234,"N_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"30","08_01_22","8_05_22",251,"K","251K",172,12,"SYM",3,"B","W1","O3","W1O3","3B","W1O3_exp3B",251,177,0.568,0.554,-0.014,-0.024647887,-4.268697949,"N_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"31","06_29_22","06_30_22",186,"G","186G",128,1,"SYM",2,"A","B22","G31","B22G31","2A","B22G31_exp2A",186,66,0.487,0.44,-0.047,-0.09650924,-3.057607677,"N_0_20_S_S","CNTRL_0_20_S_S","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","S","S_S"
"32","08_01_22","8_05_22",245,"J","245J",169,5,"SYM",3,"B","O1","B4","O1B4","3B","O1B4_exp3B",245,161,0.558,0.14,-0.418,-0.749103943,-0.872273846,"N_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"33","08_01_22","08_03_22",239,"B","239B",160,6,"SYM",3,"A","B13","G10","B13G10","3A","B13G10_exp3A",239,129,0.545,0.591,0.046,0.08440367,-3.079113882,"N_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"34","06_29_22","07_07_22",226,"B","226B",147,11,"APO",3,"A","B25","G43","B25G43","3A","B25G43_exp3A",226,133,0.509,0.249,-0.26,-0.510805501,-1.347073648,"N_0_30_F_A","CNTRL_0_30_F_A","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","A","F_A"
"35","06_29_22","07_05_22",208,"F","208F",139,6,"SYM",2,"A","B26","G52","B26G52","2A","B26G52_exp2A",208,70,0.019,0.509,0.49,25.78947368,-0.713349888,"N_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"36","08_01_22","08_03_22",238,"T","238T",159,14,"APO",3,"B","O2","B7","O2B7","3B","O2B7_exp3B",238,169,0.301,0.353,0.052,0.172757475,-2.95651156,"N_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"37","06_29_22","06_30_22",168,"C","168C",115,5,"APO",1,"A","B14","G14","B14G14","1A","B14G14_exp1A",168,1,0.108,0.223,0.115,1.064814815,-2.162823151,"N_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"38","06_22_28","07_31_28",235,"G","235G",153,7,"APO",3,"A","B28","G58","B28G58","3A","B28G58_exp3A",235,135,0.448,0.477,0.029,0.064732143,-3.540459449,"N_0_30_S_S","CNTRL_0_30_S_A","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","A","S_A"
"39","06_29_22","06_30_22",171,"P","171P",119,5,"SYM",1,"B","B22","G31","B22G31","1B","B22G31_exp1B",171,34,0.384,0.58,0.196,0.510416667,-1.62964062,"N_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"40","06_22_22","06_24_22",150,"E","150E",101,10,"APO",1,"A","B27","G54","B27G54","1A","B27G54_exp1A",150,4,0.112,0.545,0.433,3.866071429,-0.837017551,"N_0_30_F_A","CNTRL_0_30_F_A","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","A","F_A"
"41","06_29_22","06_30_22",188,"D","188D",129,4,"SYM",2,"B","B32","G85","B32G85","2B","B32G85_exp2B",188,102,0.564,0.469,-0.095,-0.168439716,-2.353878387,"N_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"42","06_22_22","06_24_22",161,"C","161C",110,10,"SYM",1,"B","B29","G70","B29G70","1B","B29G70_exp1B",161,39,0.232,0.464,0.232,1,-1.461017907,"N_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"43","06_29_22","06_30_22",174,"A","174A",121,1,"APO",2,"A","B13","G2","B13G2","2A","B13G2_exp2A",174,65,0.448,0.09,-0.358,-0.799107143,-1.027222293,"N_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"44","06_22_22","06_24_22",153,"Q","153Q",105,5,"SYM",1,"A","B27","G57","B27G57","1A","B27G57_exp1A",153,4,0.453,0.275,-0.178,-0.392935982,-1.725971729,"N_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"45","06_29_22","06_30_22",169,"I","169I",116,13,"APO",2,"B","B15","G22","B15G22","2B","B15G22_exp2B",169,98,0.528,0.47,-0.058,-0.109848485,-2.847312268,"N_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"46","08_01_22","08_03_22",238,"Y","238Y",160,3,"APO",3,"B","W2","O7","W2O7","3B","W2O7_exp3B",238,186,0.419,0.536,0.117,0.279236277,-2.145581344,"N_0_30_S_A","CNTRL_0_30_S_A","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","A","S_A"
"47","06_29_22","06_30_22",184,"B","184B",125,16,"APO",1,"B","B23","G35","B23G35","1B","B23G35_exp1B",184,35,0.368,0.537,0.169,0.45923913,-1.777856564,"N_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"48","08_01_22","08_02_22",237,"AT","237AT",156,16,"APO",3,"A","B13","G8","B13G8","3A","B13G8_exp3A",237,129,0.561,0.372,-0.189,-0.336898396,-1.666008264,"N_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"49","08_01_22","08_03_22",241,"E","241E",163,7,"SYM",3,"A","B26","G52","B26G52","3A","B26G52_exp3A",241,134,0.541,0.55,0.009,0.01663586,-4.710530702,"N_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"50","06_22_22","06_24_22",157,"U","157U",108,5,"SYM",1,"A","B30","G76","B30G76","1A","B30G76_exp1A",157,5,0.262,0.547,0.285,1.08778626,-1.255266099,"N_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"51","06_29_22","07_01_22",207,"G","207G",137,15,"SYM",2,"A","B22","G27","B22G27","2A","B22G27_exp2A",207,66,0.432,0.561,0.129,0.298611111,-2.047942875,"N_0_20_S_S","CNTRL_0_20_S_S","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","S","S_S"
"52","06_29_22","07_01_22",202,"D","202D",135,15,"SYM",2,"B","B14","G20","B14G20","2B","B14G20_exp2B",202,97,0.56,0.157,-0.403,-0.719642857,-0.908818717,"N_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"53","06_29_22","07_07_22",228,"G","228G",149,6,"APO",2,"A","B22","G30","B22G30","2A","B22G30_exp2A",228,66,0.153,0.569,0.416,2.718954248,-0.877070019,"N_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"54","06_29_22","07_07_22",230,"C","230C",150,2,"APO",2,"A","B26","G50","B26G50","2A","B26G50_exp2A",230,70,0.374,0.523,0.149,0.398395722,-1.903808973,"N_0_30_S_A","CNTRL_0_30_S_A","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","A","S_A"
"55","06_22_22","06_24_22",154,"F","154F",106,1,"SYM",1,"A","B30","G75","B30G75","1A","B30G75_exp1A",154,5,0.342,0.317,-0.025,-0.073099415,-3.688879454,"N_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"56","06_22_22","06_25_22",164,"G","164G",112,3,"APO",1,"B","B29","G64","B29G64","1B","B29G64_exp1B",164,39,0.371,0.185,-0.186,-0.501347709,-1.682008605,"N_0_30_F_A","CNTRL_0_30_F_A","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","A","F_A"
"57","08_01_22","08_03_22",239,"G","239G",160,11,"SYM",3,"A","B25","G46","B25G46","3A","B25G46_exp3A",239,133,0.523,0.513,-0.01,-0.019120459,-4.605170186,"N_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"58","06_29_22","06_30_22",170,"B","170B",117,5,"APO",2,"B","B32","G83","B32G83","2B","B32G83_exp2B",170,102,0.525,0.434,-0.091,-0.173333333,-2.396895772,"N_0_30_S_A","CNTRL_0_30_S_A","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","A","S_A"
"59","06_29_22","06_30_22",175,"D","175D",121,14,"SYM",2,"A","B13","G10","B13G10","2A","B13G10_exp2A",175,65,0.475,0.163,-0.312,-0.656842105,-1.164752091,"N_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"60","06_29_22","07_07_22",226,"K","226K",148,4,"APO",2,"A","B13","G8","B13G8","2A","B13G8_exp2A",226,65,0.455,0.411,-0.044,-0.096703297,-3.123565645,"N_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
