date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,sym_state,exp_num,exp_subrun,stand_beetag,peg_beetag,exp_1_beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,temp,PAM_avg_day1,PAM_avg_day11,PAM_delta,pam_percent_change,log_PAM_delta,treat_ID_full,treat_ID_collapsed_controls,treat_ID_without_sym,N_species,N_dose,N_species_dose,control_or_nutrient,temp,food,sym_state,food_sym_state
06_29_22,07_05_22,210,B,210B,140,7,APO,2,A,B28,G59,B28G59,2A,B28G59_exp2A,210,71,30,0.456,0.569,0.113,0.247807018,-2.18036746,A_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_02_22,237,AF,237AF,156,2,APO,3,A,B28,G59,B28G59,3A,B28G59_exp3A,237,135,30,0.171,0.435,0.264,1.543859649,-1.331806176,A_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,07_07_22,232,E,232E,150,14,APO,2,A,B28,G60,B28G60,2A,B28G60_exp2A,232,71,30,0.26,0.293,0.033,0.126923077,-3.411247718,A_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_02_22,237,BN,237BN,158,4,APO,3,A,B28,G60,B28G60,3A,B28G60_exp3A,237,135,30,0.449,0.456,0.007,0.0155902,-4.96184513,A_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_22_22,06_24_22,160,G,160G,110,5,APO,1,A,B31,G77,B31G77,1A,B31G77_exp1A,160,6,30,0.301,0.184,-0.117,-0.388704319,-2.145581344,A_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_22_22,06_23_22,144,I,144I,99,1,APO,1,A,B31,G78,B31G78,1A,B31G78_exp1A,144,6,30,0.158,0.203,0.045,0.284810127,-3.101092789,A_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,170,N,170N,118,1,APO,2,B,B33,G90,B33G90,2B,B33G90_exp2B,170,103,30,0.452,0.27,-0.182,-0.402654867,-1.703748592,A_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,07_05_22,213,C,213C,142,2,APO,2,B,B33,G92,B33G92,2B,B33G92_exp2B,213,103,30,0.411,0.418,0.007,0.01703163,-4.96184513,A_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,08_03_22,242,F,242F,165,3,APO,3,B,W3,O13,W3O13,3B,W3O13_exp3B,242,188,30,0.48,0.479,-0.001,-0.002083333,-6.907755279,A_0_30_F_A,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
06_29_22,06_30_22,167,G,167G,113,14,SYM,1,B,B13,G10,B13G10,1B,B13G10_exp1B,167,33,30,0.409,0.433,0.024,0.058679707,-3.729701449,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,178,B,178B,122,15,SYM,1,B,B13,G13,B13G13,1B,B13G13_exp1B,178,33,30,0.315,0.509,0.194,0.615873016,-1.63989712,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_01_22,198,G,198G,133,15,SYM,2,A,B28,G62,B28G62,2A,B28G62_exp2A,198,71,30,0.481,0.526,0.045,0.093555094,-3.101092789,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,08_03_22,240,C,240C,161,13,SYM,3,A,B28,G62,B28G62,3A,B28G62_exp3A,240,135,30,0.485,0.508,0.023,0.04742268,-3.772261063,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_07_22,220,G,220G,144,13,SYM,2,A,B28,G63,B28G63,2A,B28G63_exp2A,220,71,30,0.479,0.106,-0.373,-0.778705637,-0.986176859,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,08_03_22,241,M,241M,163,15,SYM,3,A,B28,G63,B28G63,3A,B28G63_exp3A,241,135,30,0.388,0.535,0.147,0.378865979,-1.917322692,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_22_22,06_23_22,144,B,144B,98,10,SYM,1,A,B31,G79,B31G79,1A,B31G79_exp1A,144,6,30,0.344,0.522,0.178,0.51744186,-1.725971729,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_22_22,06_24_22,152,L,152L,103,13,SYM,1,A,B31,G80,B31G80,1A,B31G80_exp1A,152,6,30,0.384,0.535,0.151,0.393229167,-1.890475442,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_22_22,06_24_22,155,J,155J,106,13,SYM,1,A,B31,G82,B31G82,1A,B31G82_exp1A,155,6,30,0.365,0.572,0.207,0.567123288,-1.575036486,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,196,D,196D,131,13,SYM,2,B,B33,G93,B33G93,2B,B33G93_exp2B,196,103,30,0.563,0.548,-0.015,-0.026642984,-4.199705078,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_05_22,211,H,211H,141,6,SYM,2,B,B33,G94,B33G94,2B,B33G94_exp2B,211,103,30,0.153,0.461,0.308,2.013071895,-1.177655496,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,07_07_22,226,I,226I,148,2,SYM,2,B,B33,G95,B33G95,2B,B33G95_exp2B,226,103,30,0.577,0.196,-0.381,-0.660311958,-0.964955904,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,8_05_22,245,D,245D,168,15,APO,3,B,W3,O14,W3O14,3B,W3O14_exp3B,245,188,30,0.268,0.51,0.242,0.902985075,-1.418817553,A_0_30_F_S,CNTRL_0_30_F_A,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,A,F_A
08_01_22,8_05_22,248,D,248D,170,9,SYM,3,B,W3,O15,W3O15,3B,W3O15_exp3B,248,188,30,0.078,0.337,0.259,3.320512821,-1.350927217,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
08_01_22,8_05_22,252,AB,252AB,174,13,SYM,3,B,W3,O17,W3O17,3B,W3O17_exp3B,252,188,30,0.537,0.217,-0.32,-0.595903166,-1.139434283,A_0_30_F_S,CNTRL_0_30_F_S,CNTRL_0_30_F,CNTRL,0,CNTRL_0,Control,30,F,S,F_S
06_29_22,06_30_22,169,C,169C,116,7,APO,1,B,B25,G43,B25G43,1B,B25G43_exp1B,169,36,30,0.366,0.17,-0.196,-0.535519126,-1.62964062,A_0_30_S_A,CNTRL_0_30_S_A,CNTRL_0_30_S,CNTRL,0,CNTRL_0,Control,30,S,A,S_A
