"","date_coll","date_frag","col_num","frag_letter","col_frag_num","tile_num","tile_position","sym_state_full","exp_num","exp_subrun","stand_beetag","peg_beetag","exp_1_beetag","exp_run_full","beetag_exprun","col_num.1","jar_unique_ID","PAM_avg_day1","PAM_avg_day11","PAM_delta","pam_percent_change","log_PAM_delta","treat_ID_full","treat_ID_collapsed_controls","treat_ID_without_sym","N_species","N_dose","N_species_dose","control_or_nutrient","temp","food","sym_state","food_sym_state"
"11","06_29_22","06_30_22",179,"B","179B",123,12,"APO",1,"B","B28","G59","B28G59","1B","B28G59_exp1B",179,38,0.161,0.261,0.1,0.621118012,-2.302585093,"A_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"12","06_29_22","07_07_22",221,"B","221B",145,1,"APO",2,"A","B29","G65","B29G65","2A","B29G65_exp2A",221,72,0.357,0.347,-0.01,-0.028011204,-4.605170186,"A_0_30_S_A","CNTRL_0_30_S_A","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","A","S_A"
"13","06_29_22","06_30_22",178,"I","178I",123,6,"APO",1,"B","B13","G3","B13G3","1B","B13G3_exp1B",178,33,0.268,0.46,0.192,0.71641791,-1.650259907,"A_0_30_F_A","CNTRL_0_30_F_A","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","A","F_A"
"14","06_29_22","06_30_22",187,"D","187D",128,9,"APO",1,"B","B28","G60","B28G60","1B","B28G60_exp1B",187,38,0.15,0.458,0.308,2.053333333,-1.177655496,"A_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"15","06_29_22","06_30_22",173,"E","173E",120,14,"SYM",1,"B","B26","G52","B26G52","1B","B26G52_exp1B",173,37,0.446,0.592,0.146,0.32735426,-1.924148657,"A_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"16","08_01_22","08_03_22",241,"R","241R",164,4,"SYM",3,"A","B24","G42","B24G42","3A","B24G42_exp3A",241,132,0.579,0.507,-0.072,-0.124352332,-2.63108916,"A_0_20_S_S","CNTRL_0_20_S_S","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","S","S_S"
"17","08_01_22","08_03_22",242,"B","242B",164,15,"APO",3,"B","O3","B13","O3B13","3B","O3B13_exp3B",242,173,0.34,0.435,0.095,0.279411765,-2.353878387,"A_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"18","06_22_22","06_24_22",151,"D","151D",102,10,"SYM",1,"A","B24","G41","B24G41","1A","B24G41_exp1A",151,3,0.338,0.48,0.142,0.420118343,-1.951928221,"A_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"19","06_29_22","07_05_22",210,"B","210B",140,7,"APO",2,"A","B28","G59","B28G59","2A","B28G59_exp2A",210,71,0.456,0.569,0.113,0.247807018,-2.18036746,"A_0_30_F_A","CNTRL_0_30_F_A","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","A","F_A"
"20","06_29_22","07_07_22",215,"C","215C",143,3,"APO",2,"B","B30","G72","B30G72","2B","B30G72_exp2B",215,100,0.406,0.59,0.184,0.45320197,-1.692819521,"A_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"21","06_22_22","06_23_22",144,"G","144G",98,15,"SYM",1,"A","B34","G3106","B34G3106","1A","B34G3106_exp1A",144,8,0.335,0.373,0.038,0.113432836,-3.270169119,"A_0_20_S_S","CNTRL_0_20_S_S","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","S","S_S"
"22","06_22_22","06_24_22",155,"I","155I",106,12,"APO",1,"A","B33","G90","B33G90","1A","B33G90_exp1A",155,7,0.333,0.38,0.047,0.141141141,-3.057607677,"A_0_30_S_A","CNTRL_0_30_S_A","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","A","S_A"
"23","08_01_22","08_02_22",237,"Z","237Z",155,12,"APO",3,"A","B23","G34","B23G34","3A","B23G34_exp3A",237,131,0.415,0.405,-0.01,-0.024096386,-4.605170186,"A_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"24","08_01_22","8_05_22",244,"N","244N",168,9,"APO",3,"B","O3","B14","O3B14","3B","O3B14_exp3B",244,173,0.331,0.418,0.087,0.262839879,-2.44184716,"A_0_20_F_S","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"25","06_29_22","07_07_22",217,"G","217G",143,14,"SYM",2,"B","B34","G3310","B34G3310","2B","B34G3310_exp2B",217,104,0.542,0.5,-0.042,-0.077490775,-3.170085661,"A_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"26","08_01_22","08_03_22",241,"X","241X",164,10,"SYM",3,"A","B29","G71","B29G71","3A","B29G71_exp3A",241,136,0.569,0.546,-0.023,-0.040421793,-3.772261063,"A_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"27","08_01_22","08_03_22",240,"C","240C",161,13,"SYM",3,"A","B28","G62","B28G62","3A","B28G62_exp3A",240,135,0.485,0.508,0.023,0.04742268,-3.772261063,"A_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"28","06_29_22","07_01_22",198,"F","198F",133,14,"APO",2,"A","B29","G64","B29G64","2A","B29G64_exp2A",198,72,0.49,0.523,0.033,0.067346939,-3.411247718,"A_0_30_S_A","CNTRL_0_30_S_A","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","A","S_A"
"29","08_01_22","08_03_22",242,"AE","242AE",166,12,"APO",3,"B","O2","B8","O2B8","3B","O2B8_exp3B",242,169,0.425,0.475,0.05,0.117647059,-2.995732274,"A_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"30","06_29_22","07_01_22",197,"B","197B",133,2,"APO",2,"A","B24","G38","B24G38","2A","B24G38_exp2A",197,68,0.468,0.567,0.099,0.211538462,-2.312635429,"A_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"31","06_29_22","07_07_22",233,"D","233D",151,8,"APO",2,"A","B24","G40","B24G40","2A","B24G40_exp2A",233,68,0.443,0.072,-0.371,-0.837471783,-0.991553216,"A_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"32","08_01_22","8_06_22",254,"A","254A",176,3,"SYM",3,"B","O4","B24","O4B24","3B","O4B24_exp3B",254,174,0.584,0.385,-0.199,-0.340753425,-1.614450454,"A_0_20_S_S","CNTRL_0_20_S_S","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","S","S_S"
"33","06_29_22","07_07_22",233,"J","233J",151,14,"SYM",2,"B","B30","G76","B30G76","2B","B30G76_exp2B",233,100,0.561,0.623,0.062,0.110516934,-2.780620894,"A_0_20_S_S","CNTRL_0_20_S_S","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","S","S_S"
"34","06_22_22","06_24_22",160,"G","160G",110,5,"APO",1,"A","B31","G77","B31G77","1A","B31G77_exp1A",160,6,0.301,0.184,-0.117,-0.388704319,-2.145581344,"A_0_30_F_A","CNTRL_0_30_F_A","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","A","F_A"
"35","06_29_22","06_30_22",167,"G","167G",113,14,"SYM",1,"B","B13","G10","B13G10","1B","B13G10_exp1B",167,33,0.409,0.433,0.024,0.058679707,-3.729701449,"A_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"36","06_29_22","07_05_22",211,"H","211H",141,6,"SYM",2,"B","B33","G94","B33G94","2B","B33G94_exp2B",211,103,0.153,0.461,0.308,2.013071895,-1.177655496,"A_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"37","06_29_22","07_01_22",205,"C","205C",136,7,"SYM",2,"A","B29","G70","B29G70","2A","B29G70_exp2A",205,72,0.452,0.019,-0.433,-0.957964602,-0.837017551,"A_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"38","08_01_22","08_03_22",240,"L","240L",162,6,"SYM",3,"A","B29","G70","B29G70","3A","B29G70_exp3A",240,136,0.502,0.455,-0.047,-0.093625498,-3.057607677,"A_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"39","06_29_22","06_30_22",170,"H","170H",117,11,"APO",2,"B","B27","G53","B27G53","2B","B27G53_exp2B",170,99,0.46,0.538,0.078,0.169565217,-2.551046452,"A_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"40","08_01_22","8_05_22",245,"F","245F",169,1,"SYM",3,"B","W4","O23","W4O23","3B","W4O23_exp3B",245,189,0.046,0.449,0.403,8.760869565,-0.908818717,"A_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"41","06_29_22","06_30_22",178,"B","178B",122,15,"SYM",1,"B","B13","G13","B13G13","1B","B13G13_exp1B",178,33,0.315,0.509,0.194,0.615873016,-1.63989712,"A_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"42","06_22_22","06_24_22",155,"E","155E",106,8,"SYM",1,"A","B24","G42","B24G42","1A","B24G42_exp1A",155,3,0.287,0.375,0.088,0.306620209,-2.430418465,"A_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"43","06_22_22","06_23_22",144,"M","144M",99,5,"SYM",1,"A","B33","G93","B33G93","1A","B33G93_exp1A",144,7,0.337,0.264,-0.073,-0.216617211,-2.617295838,"A_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"44","08_01_22","8_05_22",252,"AB","252AB",174,13,"SYM",3,"B","W3","O17","W3O17","3B","W3O17_exp3B",252,188,0.537,0.217,-0.32,-0.595903166,-1.139434283,"A_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"45","08_01_22","08_02_22",237,"BN","237BN",158,4,"APO",3,"A","B28","G60","B28G60","3A","B28G60_exp3A",237,135,0.449,0.456,0.007,0.0155902,-4.96184513,"A_0_30_F_A","CNTRL_0_30_F_A","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","A","F_A"
"46","06_22_22","06_24_22",157,"I","157I",107,9,"SYM",1,"A","B33","G95","B33G95","1A","B33G95_exp1A",157,7,0.347,0.571,0.224,0.645533141,-1.496109227,"A_0_30_S_S","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"47","06_29_22","07_07_22",220,"A","220A",144,7,"SYM",2,"A","B23","G37","B23G37","2A","B23G37_exp2A",220,67,0.525,0.135,-0.39,-0.742857143,-0.94160854,"A_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"48","06_29_22","06_30_22",167,"E","167E",113,12,"APO",1,"B","B26","G48","B26G48","1B","B26G48_exp1B",167,37,0.333,0.541,0.208,0.624624625,-1.570217199,"A_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"49","08_01_22","08_02_22",237,"BJ","237BJ",157,16,"APO",3,"A","B23","G35","B23G35","3A","B23G35_exp3A",237,131,0.475,0.401,-0.074,-0.155789474,-2.603690186,"A_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"50","08_01_22","08_03_22",241,"I","241I",163,11,"SYM",3,"A","B23","G37","B23G37","3A","B23G37_exp3A",241,131,0.601,0.472,-0.129,-0.214642263,-2.047942875,"A_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"51","06_22_22","06_24_22",152,"P","152P",104,1,"APO",1,"A","B24","G38","B24G38","1A","B24G38_exp1A",152,3,0.337,0.553,0.216,0.640949555,-1.532476871,"A_0_20_F_A","CNTRL_0_20_F_A","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","A","F_A"
"52","06_29_22","07_07_22",226,"F","226F",147,15,"SYM",2,"B","B27","G57","B27G57","2B","B27G57_exp2B",226,99,0.552,0.059,-0.493,-0.893115942,-0.707246105,"A_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"53","08_01_22","08_03_22",243,"M","243M",167,9,"SYM",3,"B","W3","O20","W3O20","3B","W3O20_exp3B",243,188,0.561,0.592,0.031,0.055258467,-3.473768074,"A_0_30_S_A","CNTRL_0_30_S_S","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","S","S_S"
"54","08_01_22","08_02_22",237,"BS","237BS",158,9,"APO",3,"A","B24","G40","B24G40","3A","B24G40_exp3A",237,132,0.349,0.331,-0.018,-0.051575931,-4.017383521,"A_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"55","06_22_22","06_23_22",143,"A","143A",97,14,"SYM",1,"A","B24","G40","B24G40","1A","B24G40_exp1A",143,3,0.406,0.111,-0.295,-0.726600985,-1.220779923,"A_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"56","06_29_22","07_05_22",211,"C","211C",141,1,"SYM",2,"B","B27","G56","B27G56","2B","B27G56_exp2B",211,99,0.565,0.162,-0.403,-0.713274336,-0.908818717,"A_0_20_F_S","CNTRL_0_20_F_S","CNTRL_0_20_F","CNTRL",0,"CNTRL_0","Control",20,"F","S","F_S"
"57","08_01_22","08_02_22",237,"AJ","237AJ",156,6,"APO",3,"A","B24","G39","B24G39","3A","B24G39_exp3A",237,132,0.532,0.536,0.004,0.007518797,-5.521460918,"A_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
"58","08_01_22","8_05_22",248,"D","248D",170,9,"SYM",3,"B","W3","O15","W3O15","3B","W3O15_exp3B",248,188,0.078,0.337,0.259,3.320512821,-1.350927217,"A_0_30_F_S","CNTRL_0_30_F_S","CNTRL_0_30_F","CNTRL",0,"CNTRL_0","Control",30,"F","S","F_S"
"59","08_01_22","08_03_22",242,"O","242O",165,12,"APO",3,"B","W4","O21","W4O21","3B","W4O21_exp3B",242,189,0.483,0.614,0.131,0.271221532,-2.032557956,"A_0_30_S_A","CNTRL_0_30_S_A","CNTRL_0_30_S","CNTRL",0,"CNTRL_0","Control",30,"S","A","S_A"
"60","06_22_22","06_24_22",146,"D","146D",100,4,"APO",1,"A","B34","G100","B34G100","1A","B34G100_exp1A",146,8,0.189,0.274,0.085,0.44973545,-2.465104022,"A_0_20_S_A","CNTRL_0_20_S_A","CNTRL_0_20_S","CNTRL",0,"CNTRL_0","Control",20,"S","A","S_A"
