date_collected,exp_day_of_coll,exp_subrun,treatment_ID,NO3_mean_observed,N_species,N_dose,temp,food,N_species_dose_temp,sample_name,NO3_and_NO2_uM,NO2_uM,NO3_uM,NO3_INTENDED,NO3_DISCREPANCY,NH4_uM,NH4_INTENDED,NH4_DISCREPANCY,PO4
8_31_22,11,3A,N_0_30_S,3.325,N,0,30,S,N_0_30,NA,4.284,2.247,2.037,0,2.037,17.503,0,17.503,NA
8_23_22,3,3A,N_0_30_S,3.325,N,0,30,S,N_0_30,0 µM NO3 30C,3.927,0.234,3.693,0,3.693,15.644,0,15.644,0.108
8_31_22,7,3B,N_0_30_S,3.325,N,0,30,S,N_0_30,N CNTRL Day 7 30C,5.227,0.935,4.292,0,4.292,12.226,0,12.226,0.248
9_4_22,11,3B,N_0_30_S,3.325,N,0,30,S,N_0_30,30_N_0_S,3.957,0.679,3.278,0,3.278,9.258,0,9.258,NA
8_27_22,7,3A,N_1.5_20_F,4.4475,N,1.5,20,F,N_1.5_20,NA,3.796,0.184,3.612,1.5,2.112,2.47,0,2.47,NA
8_27_22,3,3B,N_1.5_20_F,4.4475,N,1.5,20,F,N_1.5_20,20_N_1.5_F,5.484,0.201,5.283,1.5,3.783,4.792,0,4.792,0.077
8_31_22,11,3A,N_1.5_20_S,3.57675,N,1.5,20,S,N_1.5_20,NA,3.702,0.541,3.161,1.5,1.661,3.017,0,3.017,NA
8_23_22,3,3A,N_1.5_20_S,3.57675,N,1.5,20,S,N_1.5_20,1.5 µM NO3 20C,4.16,0.059,4.101,1.5,2.601,7.184,0,7.184,0.071
8_31_22,7,3B,N_1.5_20_S,3.57675,N,1.5,20,S,N_1.5_20,N 1.5 Day 7 20C,4.342,0.53,3.812,1.5,2.312,5.782,0,5.782,0.239
9_4_22,11,3B,N_1.5_20_S,3.57675,N,1.5,20,S,N_1.5_20,20_N_1.5_S,3.671,0.438,3.233,1.5,1.733,14.426,0,14.426,NA
8_27_22,7,3A,N_1.5_30_F,2.5815,N,1.5,30,F,N_1.5_30,NA,3.22,0.604,2.616,1.5,1.116,11.267,0,11.267,NA
8_27_22,3,3B,N_1.5_30_F,2.5815,N,1.5,30,F,N_1.5_30,30_N_1.5_F,2.802,0.255,2.547,1.5,1.047,10.788,0,10.788,0.061
8_31_22,11,3A,N_1.5_30_S,6.054,N,1.5,30,S,N_1.5_30,NA,7.051,3.187,3.864,1.5,2.364,19.036,0,19.036,NA
8_23_22,3,3A,N_1.5_30_S,6.054,N,1.5,30,S,N_1.5_30,1.5 µM NO3 30C,9.489,0.284,9.205,1.5,7.705,11.627,0,11.627,0.123
8_31_22,7,3B,N_1.5_30_S,6.054,N,1.5,30,S,N_1.5_30,N 1.5 Day 7 30C,6.09,1.478,4.612,1.5,3.112,22.974,0,22.974,0.487
9_4_22,11,3B,N_1.5_30_S,6.054,N,1.5,30,S,N_1.5_30,30_N_1.5_S,9.249,2.714,6.535,1.5,5.035,25.452,0,25.452,NA
8_27_22,7,3A,N_18_20_F,10.9255,N,18,20,F,N_18_20,NA,13.39,0.268,13.122,18,-4.878,4.766,0,4.766,NA
8_27_22,3,3B,N_18_20_F,10.9255,N,18,20,F,N_18_20,20_N_18_F,8.77,0.041,8.729,18,-9.271,3.58,0,3.58,0.02
8_31_22,11,3A,N_18_20_S,13.03475,N,18,20,S,N_18_20,NA,16.16,0.381,15.779,18,-2.221,1.282,0,1.282,NA
8_23_22,3,3A,N_18_20_S,13.03475,N,18,20,S,N_18_20,18 µM NO3 20C,8.594,0.085,8.509,18,-9.491,9.929,0,9.929,0.098
8_31_22,7,3B,N_18_20_S,13.03475,N,18,20,S,N_18_20,N18 Day 7 20C,15.879,0.266,15.613,18,-2.387,1.722,0,1.722,0.119
9_4_22,11,3B,N_18_20_S,13.03475,N,18,20,S,N_18_20,20_N_18_S,12.715,0.477,12.238,18,-5.762,23.985,0,23.985,NA
8_27_22,7,3A,N_18_30_F,11.664,N,18,30,F,N_18_30,NA,10.387,0.387,10,18,-8,7.698,0,7.698,NA
8_27_22,3,3B,N_18_30_F,11.664,N,18,30,F,N_18_30,30_N_18_F,13.554,0.226,13.328,18,-4.672,9.973,0,9.973,0.051
8_31_22,11,3A,N_18_30_S,17.905,N,18,30,S,N_18_30,NA,21.18,2.171,19.009,18,1.009,15.646,0,15.646,NA
8_23_22,3,3A,N_18_30_S,17.905,N,18,30,S,N_18_30,18 µM NO3 30C,20.544,0.314,20.23,18,2.23,16.032,0,16.032,0.078
8_31_22,7,3B,N_18_30_S,17.905,N,18,30,S,N_18_30,N18 Day 7 30C,19.567,1.545,18.022,18,0.022,17.609,0,17.609,0.551
9_4_22,11,3B,N_18_30_S,17.905,N,18,30,S,N_18_30,30_N_18_S,16.046,1.687,14.359,18,-3.641,14.528,0,14.528,NA
8_27_22,7,3A,N_5_20_F,7.0775,N,5,20,F,N_5_20,NA,6.639,0.216,6.423,5,1.423,5.827,0,5.827,NA
8_27_22,3,3B,N_5_20_F,7.0775,N,5,20,F,N_5_20,20_N_5_F,7.871,0.139,7.732,5,2.732,4.67,0,4.67,0.021
8_31_22,11,3A,N_5_20_S,5.87925,N,5,20,S,N_5_20,NA,4.466,0.179,4.287,5,-0.713,0.939,0,0.939,NA
8_23_22,3,3A,N_5_20_S,5.87925,N,5,20,S,N_5_20,5 µM NO3 20C,7.789,0.086,7.703,5,2.703,8.958,0,8.958,0.101
8_31_22,7,3B,N_5_20_S,5.87925,N,5,20,S,N_5_20,N5 Day 7 20C,6.308,0.137,6.171,5,1.171,7.248,0,7.248,0.291
9_4_22,11,3B,N_5_20_S,5.87925,N,5,20,S,N_5_20,20_N_5_S,5.88,0.524,5.356,5,0.356,16.549,0,16.549,NA
8_27_22,7,3A,N_5_30_F,5.8445,N,5,30,F,N_5_30,NA,7.412,1.354,6.058,5,1.058,15.518,0,15.518,NA
8_27_22,3,3B,N_5_30_F,5.8445,N,5,30,F,N_5_30,30_N_5_F,5.83,0.199,5.631,5,0.631,7.484,0,7.484,0.087
8_31_22,11,3A,N_5_30_S,6.857,N,5,30,S,N_5_30,NA,9.333,3.035,6.298,5,1.298,17.04,0,17.04,NA
8_23_22,3,3A,N_5_30_S,6.857,N,5,30,S,N_5_30,5 µM NO3 30C,8.998,0.314,8.684,5,3.684,11.325,0,11.325,0.105
8_31_22,7,3B,N_5_30_S,6.857,N,5,30,S,N_5_30,N5 Day 7 30C,7.009,1.181,5.828,5,0.828,14.722,0,14.722,0.549
9_4_22,11,3B,N_5_30_S,6.857,N,5,30,S,N_5_30,30_N_5_S,7.906,1.288,6.618,5,1.618,20.757,0,20.757,NA
