date_coll,date_frag,col_num,frag_letter,col_frag_num,tile_num,tile_position,exp_num,stand_beetag,peg_beetag,exp_1_beetag,exp_1_subrun,beetag_exprun,exp_startdate,treat_ID,N_species,N_dose,temp,food,sym_state,N_species_dose,survival_day1,survival_day2,survival_day3,survival_day4,survival_day5,survival_day6,survival_day7,survival_day8,survival_day9,survival_day10,survival_day11,survival_day12
06_22_22,06_24_22,153,U,153U,105,9,1,B15,G26,B15G26,A,B15G26_exp1A,7_15_22,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,224,A,224A,146,6,2,B15,G26,B15G26,B,B15G26_exp2B,,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,160,F,160F,110,4,1,B22,G27,B22G27,B,B22G27_exp1B,7_17_22,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,207,G,207G,137,15,2,B22,G27,B22G27,A,B22G27_exp2A,,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,241,A,241A,163,3,3,B22,G27,B22G27,A,B22G27_exp3A,08_21_22,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,169,J,169J,116,14,1,B22,G28,B22G28,B,B22G28_exp1B,7_17_22,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,187,B,187B,128,7,2,B22,G28,B22G28,A,B22G28_exp2A,,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,227,C,227C,148,11,3,B22,G28,B22G28,A,B22G28_exp3A,08_21_22,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,183,A,183A,125,6,1,B22,G29,B22G29,B,B22G29_exp1B,7_17_22,N_0_20_F_A,N,0,20,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,202,C,202C,135,14,2,B22,G29,B22G29,A,B22G29_exp2A,,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,O,237O,155,1,3,B22,G29,B22G29,A,B22G29_exp3A,08_21_22,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,160,C,160C,110,1,1,B22,G30,B22G30,B,B22G30_exp1B,7_17_22,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,228,G,228G,149,6,2,B22,G30,B22G30,A,B22G30_exp2A,,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,BB,237BB,157,8,3,B22,G30,B22G30,A,B22G30_exp3A,08_21_22,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,171,P,171P,119,5,1,B22,G31,B22G31,B,B22G31_exp1B,7_17_22,N_0_20_F_S,N,0,20,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,186,G,186G,128,1,2,B22,G31,B22G31,A,B22G31_exp2A,,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,239,K,239K,160,15,3,B22,G31,B22G31,A,B22G31_exp3A,08_21_22,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_25_22,166,D,166D,112,14,1,B23,G33,B23G33,B,B23G33_exp1B,7_17_22,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,194,E,194E,131,2,2,B23,G33,B23G33,A,B23G33_exp2A,,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,234,A,234A,152,10,3,B23,G33,B23G33,A,B23G33_exp3A,08_21_22,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,171,A,171A,118,6,1,B23,G34,B23G34,B,B23G34_exp1B,7_17_22,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_05_22,209,C,209C,139,14,2,B23,G34,B23G34,A,B23G34_exp2A,,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,Z,237Z,155,12,3,B23,G34,B23G34,A,B23G34_exp3A,08_21_22,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,184,B,184B,125,16,1,B23,G35,B23G35,B,B23G35_exp1B,7_17_22,N_0_20_S_A,N,0,20,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,231,C,231C,150,8,2,B23,G35,B23G35,A,B23G35_exp2A,,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,BJ,237BJ,157,16,3,B23,G35,B23G35,A,B23G35_exp3A,08_21_22,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_25_22,164,A,164A,111,13,1,B23,G36,B23G36,B,B23G36_exp1B,7_17_22,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,193,I,193I,130,12,2,B23,G36,B23G36,A,B23G36_exp2A,,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,239,U,239U,161,9,3,B23,G36,B23G36,A,B23G36_exp3A,08_21_22,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,172,D,172D,120,3,1,B23,G37,B23G37,B,B23G37_exp1B,7_17_22,N_0_20_S_S,N,0,20,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,220,A,220A,144,7,2,B23,G37,B23G37,A,B23G37_exp2A,,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,241,I,241I,163,11,3,B23,G37,B23G37,A,B23G37_exp3A,08_21_22,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,152,P,152P,104,1,1,B24,G38,B24G38,A,B24G38_exp1A,7_15_22,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,197,B,197B,133,2,2,B24,G38,B24G38,A,B24G38_exp2A,,A_0_20_S_A,A,0,20,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_32,07_31_32,235,K,235K,153,11,3,B24,G38,B24G38,A,B24G38_exp3A,08_21_22,A_0_20_S_A,A,0,20,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,152,B,152B,103,3,1,B24,G39,B24G39,A,B24G39_exp1A,7_15_22,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_05_22,210,I,210I,140,14,2,B24,G39,B24G39,A,B24G39_exp2A,,A_0_20_S_A,A,0,20,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,AJ,237AJ,156,6,3,B24,G39,B24G39,A,B24G39_exp3A,08_21_22,A_0_20_S_A,A,0,20,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_23_22,143,A,143A,97,14,1,B24,G40,B24G40,A,B24G40_exp1A,7_15_22,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,233,D,233D,151,8,2,B24,G40,B24G40,A,B24G40_exp2A,,A_0_20_S_A,A,0,20,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,BS,237BS,158,9,3,B24,G40,B24G40,A,B24G40_exp3A,08_21_22,A_0_20_S_A,A,0,20,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,151,D,151D,102,10,1,B24,G41,B24G41,A,B24G41_exp1A,7_15_22,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,201,A,201A,134,16,2,B24,G41,B24G41,A,B24G41_exp2A,,A_0_20_S_S,A,0,20,S,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,240,H,240H,162,2,3,B24,G41,B24G41,A,B24G41_exp3A,08_21_22,A_0_20_S_S,A,0,20,S,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,155,E,155E,106,8,1,B24,G42,B24G42,A,B24G42_exp1A,7_15_22,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,222,B,222B,145,4,2,B24,G42,B24G42,A,B24G42_exp2A,,A_0_20_S_S,A,0,20,S,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,241,R,241R,164,4,3,B24,G42,B24G42,A,B24G42_exp3A,08_21_22,A_0_20_S_S,A,0,20,S,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,169,C,169C,116,7,1,B25,G43,B25G43,B,B25G43_exp1B,7_17_22,A_0_30_S_A,A,0,30,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,174,I,174I,121,9,2,B25,G43,B25G43,A,B25G43_exp2A,,N_0_30_F_A,N,0,30,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,226,B,226B,147,11,3,B25,G43,B25G43,A,B25G43_exp3A,08_21_22,N_0_30_F_A,N,0,30,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,181,C,181C,124,4,1,B25,G44,B25G44,B,B25G44_exp1B,7_17_22,A_0_30_S_A,A,0,30,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,201,G,201G,135,6,2,B25,G44,B25G44,A,B25G44_exp2A,,N_0_30_F_A,N,0,30,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,J,237J,154,12,3,B25,G44,B25G44,A,B25G44_exp3A,08_21_22,N_0_30_F_A,N,0,30,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,187,I,187I,128,14,1,B25,G45,B25G45,B,B25G45_exp1B,7_17_22,A_0_30_S_A,A,0,30,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,226,O,226O,148,8,2,B25,G45,B25G45,A,B25G45_exp2A,,N_0_30_F_A,N,0,30,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,AX,237AX,157,4,3,B25,G45,B25G45,A,B25G45_exp3A,08_21_22,N_0_30_F_A,N,0,30,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,167,V,167V,114,13,1,B25,G46,B25G46,B,B25G46_exp1B,7_17_22,A_0_30_S_S,A,0,30,S,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,185,H,185H,127,7,2,B25,G46,B25G46,A,B25G46_exp2A,,N_0_30_F_S,N,0,30,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,239,G,239G,160,11,3,B25,G46,B25G46,A,B25G46_exp3A,08_21_22,N_0_30_F_S,N,0,30,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,182,I,182I,124,16,1,B25,G47,B25G47,B,B25G47_exp1B,7_17_22,A_0_30_S_S,A,0,30,S,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,206,K,206K,137,7,2,B25,G47,B25G47,A,B25G47_exp2A,,N_0_30_F_S,N,0,30,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,240,T,240T,162,14,3,B25,G47,B25G47,A,B25G47_exp3A,08_21_22,N_0_30_F_S,N,0,30,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,167,E,167E,113,12,1,B26,G48,B26G48,B,B26G48_exp1B,7_17_22,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,193,B,193B,130,5,2,B26,G48,B26G48,A,B26G48_exp2A,,N_0_30_S_A,N,0,30,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,229,E,229E,149,15,3,B26,G48,B26G48,A,B26G48_exp3A,08_21_22,N_0_30_S_A,N,0,30,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,178,A,178A,122,14,1,B26,G49,B26G49,B,B26G49_exp1B,7_17_22,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,206,B,206B,136,14,2,B26,G49,B26G49,A,B26G49_exp2A,,N_0_30_S_A,N,0,30,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,T,237T,155,6,3,B26,G49,B26G49,A,B26G49_exp3A,08_21_22,N_0_30_S_A,N,0,30,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,184,M,184M,126,11,1,B26,G50,B26G50,B,B26G50_exp1B,7_17_22,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,230,C,230C,150,2,2,B26,G50,B26G50,A,B26G50_exp2A,,N_0_30_S_A,N,0,30,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,BF,237BF,157,12,3,B26,G50,B26G50,A,B26G50_exp3A,08_21_22,N_0_30_S_A,N,0,30,S,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_25_22,166,F,166F,112,16,1,B26,G51,B26G51,B,B26G51_exp1B,7_17_22,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,196,P,196P,132,9,2,B26,G51,B26G51,A,B26G51_exp2A,,N_0_30_S_S,N,0,30,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,239,Q,239Q,161,5,3,B26,G51,B26G51,A,B26G51_exp3A,08_21_22,N_0_30_S_S,N,0,30,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,173,E,173E,120,14,1,B26,G52,B26G52,B,B26G52_exp1B,7_17_22,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_05_22,208,F,208F,139,6,2,B26,G52,B26G52,A,B26G52_exp2A,,N_0_30_S_S,N,0,30,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,241,E,241E,163,7,3,B26,G52,B26G52,A,B26G52_exp3A,08_21_22,N_0_30_S_S,N,0,30,S,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,168,G,168G,115,9,1,B27,G53,B27G53,A,B27G53_exp1A,7_15_22,N_0_30_F_A,N,0,30,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,170,H,170H,117,11,2,B27,G53,B27G53,B,B27G53_exp2B,,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,150,E,150E,101,10,1,B27,G54,B27G54,A,B27G54_exp1A,7_15_22,N_0_30_F_A,N,0,30,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_05_22,212,F,212F,141,14,2,B27,G54,B27G54,B,B27G54_exp2B,,A_0_20_F_A,A,0,20,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_23_22,142,H,142H,97,8,1,B27,G55,B27G55,A,B27G55_exp1A,7_15_22,N_0_30_F_S,N,0,30,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,191,D,191D,129,14,2,B27,G55,B27G55,B,B27G55_exp2B,,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,147,F,147F,100,12,1,B27,G56,B27G56,A,B27G56_exp1A,7_15_22,N_0_30_F_S,N,0,30,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_05_22,211,C,211C,141,1,2,B27,G56,B27G56,B,B27G56_exp2B,,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_22,06_24_22,153,Q,153Q,105,5,1,B27,G57,B27G57,A,B27G57_exp1A,7_15_22,N_0_30_F_S,N,0,30,F,S,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,226,F,226F,147,15,2,B27,G57,B27G57,B,B27G57_exp2B,,A_0_20_F_S,A,0,20,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,168,P,168P,116,2,1,B28,G58,B28G58,B,B28G58_exp1B,7_17_22,A_0_20_S_A,A,0,20,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,196,E,196E,131,14,2,B28,G58,B28G58,A,B28G58_exp2A,,A_0_30_F_A,A,0,30,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_22_28,07_31_28,235,G,235G,153,7,3,B28,G58,B28G58,A,B28G58_exp3A,08_21_22,A_0_30_F_A,A,0,30,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,179,B,179B,123,12,1,B28,G59,B28G59,B,B28G59_exp1B,7_17_22,A_0_20_S_A,A,0,20,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_05_22,210,B,210B,140,7,2,B28,G59,B28G59,A,B28G59_exp2A,,A_0_30_F_A,A,0,30,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,AF,237AF,156,2,3,B28,G59,B28G59,A,B28G59_exp3A,08_21_22,A_0_30_F_A,A,0,30,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,187,D,187D,128,9,1,B28,G60,B28G60,B,B28G60_exp1B,7_17_22,A_0_20_S_A,A,0,20,S,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,232,E,232E,150,14,2,B28,G60,B28G60,A,B28G60_exp2A,,A_0_30_F_A,A,0,30,F,A,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_02_22,237,BN,237BN,158,4,3,B28,G60,B28G60,A,B28G60_exp3A,08_21_22,N_0_30_F_A,N,0,30,F,A,N_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,167,P,167P,114,7,1,B28,G62,B28G62,B,B28G62_exp1B,7_17_22,A_0_20_S_S,A,0,20,S,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_01_22,198,G,198G,133,15,2,B28,G62,B28G62,A,B28G62_exp2A,,A_0_30_F_S,A,0,30,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,240,C,240C,161,13,3,B28,G62,B28G62,A,B28G62_exp3A,08_21_22,A_0_30_F_S,A,0,30,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,06_30_22,182,B,182B,124,9,1,B28,G63,B28G63,B,B28G63_exp1B,7_17_22,A_0_20_S_S,A,0,20,S,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
06_29_22,07_07_22,220,G,220G,144,13,2,B28,G63,B28G63,A,B28G63_exp2A,,A_0_30_F_S,A,0,30,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
08_01_22,08_03_22,241,M,241M,163,15,3,B28,G63,B28G63,A,B28G63_exp3A,08_21_22,A_0_30_F_S,A,0,30,F,S,A_0,0,0,0,0,0,0,0,0,0,0,0,0
