,X,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_dose_temp_food,NO3_mean_observed,NH4_mean_observed,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged,NO3_category
20,4,7_26_22,1,B,1,1,D1,D1,-0.00152,-0.032269747,0.032269747,"A_0_20_F_A
",A_0_20_F,3.023,4.275,"CNTRL_0_20_F_A
",F_A,CNTRL_0,CNTRL,Control,0,20,F,A,B26G50,1B,B26G50_exp1B,184,37,0,Low
21,6,09_05_22,3,B,3,0,B2,B2,-0.00421,-0.033821418,0.033821418,N_5_30_F_S,N_5_30_F,5.8445,11.501,N_5_30_F_S,F_S,N_5,N,Nitrate,5,30,F,S,W11O48,3B,W11O48_exp3B,251,179,0,Low
22,12,7_26_22,1,A,2,0,D3,D3,-0.00185,-0.034165025,0.034165025,N_1.5_30_S_A,N_1.5_30_S,6.054,19.77225,N_1.5_30_S_A,S_A,N_1.5,N,Nitrate,1.5,30,S,A,G25Y45,1A,G25Y45_exp1A,162,9,0,Elevated
23,7,09_01_22,3,A,3,0,C2,C2,-0.00208,-0.034197184,0.034197184,N_5_30_S_A,N_5_30_S,6.857,15.961,N_5_30_S_A,S_A,N_5,N,Nitrate,5,30,S,A,Y12B62,3A,Y12B62_exp3A,232,153,0,Elevated
24,13,09_01_22,3,A,3,0,A4,A4,-0.00161,-0.034325831,0.034325831,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10_30_F_A,F_A,A_10,A,Ammonium,10,30,F,A,R17W80,3A,R17W80_exp3A,235,151,0,Low
25,8,09_05_22,3,B,3,0,D2,D2,-0.00552,-0.034388958,0.034388958,N_5_30_S_S,N_5_30_S,6.857,15.961,N_5_30_S_S,S_S,N_5,N,Nitrate,5,30,S,S,W12O53,3B,W12O53_exp3B,247,180,0,Elevated
26,7,08_15_22,2,A,3,0,C2,C2,-0.00136,-0.035142002,0.035142002,N_5_30_S_A,N_5_30_S,6.857,15.961,N_5_30_S_A,S_A,N_5,N,Nitrate,5,30,S,A,Y13B70,2A,Y13B70_exp2A,194,90,0,Elevated
27,21,7_26_22,1,A,3,0,A6,A6,-0.00183,-0.035350644,0.035350644,N_18_30_F_A,N_18_30_F,11.664,8.8355,N_18_30_F_A,F_A,N_18,N,Nitrate,18,30,F,A,R4W15,1A,R4W15_exp1A,150,20,0,Elevated
28,16,09_05_22,3,B,1,0,D4,D4,-0.00446,-0.035351067,0.035351067,N_0_30_F_S,N_0_30_F,1.5285,13.0625,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,W1O3,3B,W1O3_exp3B,251,177,0,Low
29,17,7_26_22,1,A,1,0,A5,A5,-0.00178,-0.035581522,0.035581522,N_0_30_S_A,N_0_30_S,3.325,13.65775,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B30G73,1A,B30G73_exp1A,151,5,0,Low
30,9,7_26_22,1,B,1,0,A3,A3,-0.00146,-0.035602754,0.035602754,A_0_30_S_S,A_0_30_S,2.871,12.99825,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B25G46,1B,B25G46_exp1B,167,36,0,Low
31,18,09_05_22,3,B,1,0,B5,B5,-0.00351,-0.035901292,0.035901292,N_0_30_S_S,N_0_30_S,3.325,13.65775,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,W2O10,3B,W2O10_exp3B,250,186,0,Low
32,9,7_26_22,1,A,1,1,A3,A3,-0.00579,-0.036166859,0.036166859,A_0_30_F_S,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B31G82,1A,B31G82_exp1A,155,6,0,Low
33,8,7_26_22,1,A,1,0,D2,D2,-0.00285,-0.036414468,0.036414468,A_0_30_F_S,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B31G79,1A,B31G79_exp1A,144,6,0,Low
34,7,08_20_22,2,B,1,0,C2,C2,-0.0078,-0.03680397,0.03680397,A_0_30_F_A,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B33G90,2B,B33G90_exp2B,170,103,0,Low
35,18,09_05_22,3,B,1,1,B5,B5,-0.00274,-0.03696839,0.03696839,N_0_30_S_A,N_0_30_S,3.325,13.65775,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,W2O8,3B,W2O8_exp3B,244,186,0,Low
36,21,08_20_22,2,B,2,1,A6,A6,-0.00305,-0.037322174,0.037322174,A_7.5_30_S_A,A_7.5_30_S,3.125,19.2815,A_7.5_30_S_A,S_A,A_7.5,A,Ammonium,7.5,30,S,A,Y21B9940,2B,Y21B9940_exp2B,225,127,0,Low
37,24,08_15_22,2,A,1,1,D6,D6,-0.00342,-0.037576644,0.037576644,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5_30_F_A,F_A,A_5,A,Ammonium,5,30,F,A,G35Y21,2A,G35Y21_exp2A,232,79,0,Low
38,19,09_05_22,3,B,2,0,C5,C5,-0.00396,-0.037670495,0.037670495,A_7.5_30_F_S,A_7.5_30_F,2.424,14.952,A_7.5_30_F_S,F_S,A_7.5,A,Ammonium,7.5,30,F,S,W13O58,3B,W13O58_exp3B,248,181,0,Low
39,21,7_26_22,1,B,1,0,A6,A6,-0.00208,-0.038047354,0.038047354,A_5_20_S_A,A_5_20_S,3.4665,11.236,A_5_20_S_A,S_A,A_5,A,Ammonium,5,20,S,A,G38Y34,1B,G38Y34_exp1B,168,47,0,Low
40,13,08_15_22,2,A,3,0,A4,A4,-0.0018,-0.038535167,0.038535167,A_10_30_F_A,A_10_30_F,2.017,22.001,A_10_30_F_A,F_A,A_10,A,Ammonium,10,30,F,A,R17W82,2A,R17W82_exp2A,210,87,0,Low
41,15,08_20_22,2,B,2,0,C4,C4,-0.00106,-0.038862393,0.038862393,A_7.5_20_F_S,A_7.5_20_F,3.24,11.789,A_7.5_20_F_S,F_S,A_7.5,A,Ammonium,7.5,20,F,S,Y10B53,2B,Y10B53_exp2B,211,122,0,Low
42,14,7_26_22,1,A,2,0,B4,B4,-0.00433,-0.039049428,0.039049428,A_7.5_20_F_A,A_7.5_20_F,3.24,11.789,A_7.5_20_F_A,F_A,A_7.5,A,Ammonium,7.5,20,F,A,Y11B56,1A,Y11B56_exp1A,143,27,0,Low
43,5,08_20_22,2,B,2,0,A2,A2,-0.00331,-0.039156444,0.039156444,A_5_30_S_S,A_5_30_S,3.08375,19.91575,A_5_30_S_S,S_S,A_5,A,Ammonium,5,30,S,S,G31Y83,2B,G31Y83_exp2B,198,110,0,Low
44,21,08_15_22,2,A,2,0,A6,A6,-0.00206,-0.039157093,0.039157093,A_7.5_30_S_S,A_7.5_30_S,3.125,19.2815,A_7.5_30_S_S,S_S,A_7.5,A,Ammonium,7.5,30,S,S,Y23B1026,2A,Y23B1026_exp2A,206,92,0,Low
45,6,09_01_22,3,A,1,1,B2,B2,-0.00095,-0.039160314,0.039160314,A_0_20_S_A,A_0_20_S,1.605,5.6645,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B24G40,3A,B24G40_exp3A,237,132,0,Low
46,6,09_05_22,3,B,1,1,B2,B2,-0.00333,-0.039731284,0.039731284,A_0_20_S_A,A_0_20_S,1.605,5.6645,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,O4B22,3B,O4B22_exp3B,247,174,0,Low
47,13,08_15_22,2,A,2,0,A4,A4,-0.00206,-0.039887618,0.039887618,N_1.5_30_S_S,N_1.5_30_S,6.054,19.77225,N_1.5_30_S_S,S_S,N_1.5,N,Nitrate,1.5,30,S,S,G34Y10,2A,G34Y10_exp2A,198,78,0,Elevated
48,24,08_20_22,2,B,1,0,D6,D6,NA,-0.040067399,0.040067399,A_5_30_F_S,A_5_30_F,2.6645,10.267,A_5_30_F_S,F_S,A_5,A,Ammonium,5,30,F,S,G29Y72,2B,G29Y72_exp2B,196,109,0,Low
49,8,08_20_22,2,B,1,1,D2,D2,-0.00379,-0.04025387,0.04025387,A_0_30_F_A,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B33G92,2B,B33G92_exp2B,213,103,0,Low
50,14,08_20_22,2,B,1,0,B4,B4,-0.00173,-0.040495931,0.040495931,N_0_20_S_S,N_0_20_S,3.13625,5.73675,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B15G24,2B,B15G24_exp2B,180,98,0,Low
51,10,7_26_22,1,A,1,0,B3,B3,-0.00177,-0.040639849,0.040639849,A_0_30_S_A,A_0_30_S,2.871,12.99825,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B33G92,1A,B33G92_exp1A,154,7,0,Low
52,14,09_01_22,3,A,2,1,B4,B4,-0.00283,-0.040705417,0.040705417,N_1.5_30_S_S,N_1.5_30_S,6.054,19.77225,N_1.5_30_S_S,S_S,N_1.5,N,Nitrate,1.5,30,S,S,G34Y11,3A,G34Y11_exp3A,241,142,0,Elevated
53,8,08_15_22,2,A,2,0,D2,D2,-0.0041,-0.041151782,0.041151782,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5_20_S_A,S_A,N_1.5,N,Nitrate,1.5,20,S,A,G24Y41,2A,G24Y41_exp2A,203,74,0,Low
54,16,08_15_22,2,A,3,0,D4,D4,-0.00199,-0.041430632,0.041430632,A_10_30_S_S,A_10_30_S,3.6255,21.30325,A_10_30_S_S,S_S,A_10,A,Ammonium,10,30,S,S,R21W100,2A,R21W100_exp2A,206,88,0,Low
55,14,09_01_22,3,A,2,0,B4,B4,-0.00276,-0.041477718,0.041477718,A_7.5_20_F_A,A_7.5_20_F,3.24,11.789,A_7.5_20_F_A,F_A,A_7.5,A,Ammonium,7.5,20,F,A,Y4B30,3A,Y4B30_exp3A,234,158,0,Low
56,15,7_26_22,1,A,1,0,C4,C4,-0.0044,-0.041588441,0.041588441,N_0_30_F_A,N_0_30_F,1.5285,13.0625,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B27G54,1A,B27G54_exp1A,150,4,0,Low
57,14,09_05_22,3,B,1,0,B4,B4,-0.00442,-0.041616112,0.041616112,N_0_20_S_S,N_0_20_S,3.13625,5.73675,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,O2B10,3B,O2B10_exp3B,249,169,0,Low
58,22,08_15_22,2,A,2,0,B6,B6,-0.00193,-0.041745521,0.041745521,N_5_20_F_A,N_5_20_F,7.0775,5.2485,N_5_20_F_A,F_A,N_5,N,Nitrate,5,20,F,A,Y3B26,2A,Y3B26_exp2A,199,93,0,Elevated
59,24,09_01_22,3,A,1,0,D6,D6,-0.0057,-0.041775429,0.041775429,A_5_30_F_S,A_5_30_F,2.6645,10.267,A_5_30_F_S,F_S,A_5,A,Ammonium,5,30,F,S,G35Y24,3A,G35Y24_exp3A,241,143,0,Low
60,8,09_05_22,3,B,2,1,D2,D2,-0.00607,-0.042992884,0.042992884,N_1.5_20_F_S,N_1.5_20_F,4.4475,3.631,N_1.5_20_F_S,F_S,N_1.5,N,Nitrate,1.5,20,F,S,O5G7,3B,O5G7_exp3B,256,175,0,Low
61,24,7_26_22,1,B,1,0,D6,D6,-0.00361,-0.043698219,0.043698219,A_5_30_F_S,A_5_30_F,2.6645,10.267,A_5_30_F_S,F_S,A_5,A,Ammonium,5,30,F,S,G33Y1,1B,G33Y1_exp1B,181,44,0,Low
62,6,7_26_22,1,B,1,1,B2,B2,-0.00107,-0.043754215,0.043754215,A_0_20_S_A,A_0_20_S,1.605,5.6645,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B28G60,1B,B28G60_exp1B,187,38,0,Low
63,7,09_01_22,3,A,1,0,C2,C2,-0.00265,-0.043768181,0.043768181,A_0_30_F_A,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B28G58,3A,B28G58_exp3A,235,135,0,Low
64,17,08_20_22,2,B,1,0,A5,A5,-0.00332,-0.044019645,0.044019645,N_0_30_S_A,N_0_30_S,3.325,13.65775,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B32G83,2B,B32G83_exp2B,170,102,0,Low
65,6,7_26_22,1,A,1,0,B2,B2,-0.003,-0.044037176,0.044037176,A_0_20_S_S,A_0_20_S,1.605,5.6645,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B34G3106,1A,B34G3106_exp1A,144,8,0,Low
66,10,08_15_22,2,A,2,0,B3,B3,-0.00304,-0.044307673,0.044307673,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5_30_F_A,F_A,N_1.5,N,Nitrate,1.5,30,F,A,G33Y94,2A,G33Y94_exp2A,186,77,0,Low
67,12,08_20_22,2,B,2,0,D3,D3,-0.00391,-0.044456675,0.044456675,N_1.5_30_S_A,N_1.5_30_S,6.054,19.77225,N_1.5_30_S_A,S_A,N_1.5,N,Nitrate,1.5,30,S,A,G28Y62,2B,G28Y62_exp2B,170,108,0,Elevated
68,5,7_26_22,1,A,1,0,A2,A2,-0.00265,-0.044656868,0.044656868,A_0_20_S_A,A_0_20_S,1.605,5.6645,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B34G97,1A,B34G97_exp1A,162,8,0,Low
69,20,09_05_22,3,B,2,1,D5,D5,-0.00282,-0.044668506,0.044668506,A_7.5_30_F_S,A_7.5_30_F,2.424,14.952,A_7.5_30_F_S,F_S,A_7.5,A,Ammonium,7.5,30,F,S,W13O60,3B,W13O60_exp3B,249,181,0,Low
70,10,08_20_22,2,B,1,0,B3,B3,-0.00248,-0.044756812,0.044756812,A_0_30_S_S,A_0_30_S,2.871,12.99825,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B34G3106,2B,B34G3106_exp2B,198,104,0,Low
71,8,08_20_22,2,B,2,0,D2,D2,-0.00143,-0.045254641,0.045254641,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5_20_S_A,S_A,N_1.5,N,Nitrate,1.5,20,S,A,G27Y55,2B,G27Y55_exp2B,169,107,0,Low
72,13,7_26_22,1,A,2,0,A4,A4,-0.00341,-0.045884647,0.045884647,N_1.5_30_S_S,N_1.5_30_S,6.054,19.77225,N_1.5_30_S_S,S_S,N_1.5,N,Nitrate,1.5,30,S,S,G25Y47,1A,G25Y47_exp1A,152,9,0,Elevated
73,15,08_15_22,2,A,3,1,C4,C4,-0.00077,-0.046014825,0.046014825,A_10_30_S_A,A_10_30_S,3.6255,21.30325,A_10_30_S_A,S_A,A_10,A,Ammonium,10,30,S,A,R21W94,2A,R21W94_exp2A,198,88,0,Low
74,9,7_26_22,1,A,2,0,A3,A3,-0.00266,-0.046274552,0.046274552,N_1.5_20_S_S,N_1.5_20_S,3.57675,7.60225,N_1.5_20_S_S,S_S,N_1.5,N,Nitrate,1.5,20,S,S,G31Y83,1A,G31Y83_exp1A,150,13,0,Low
75,10,7_26_22,1,A,1,1,B3,B3,-0.00261,-0.046742469,0.046742469,A_0_30_S_S,A_0_30_S,2.871,12.99825,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B33G93,1A,B33G93_exp1A,144,7,0,Low
76,10,09_05_22,3,B,2,0,B3,B3,-0.00292,-0.04699213,0.04699213,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5_30_F_A,F_A,N_1.5,N,Nitrate,1.5,30,F,A,W5O29,3B,W5O29_exp3B,238,190,0,Low
77,20,08_15_22,2,A,1,1,D5,D5,-0.00481,-0.047011818,0.047011818,A_5_20_F_A,A_5_20_F,2.518,13.433,A_5_20_F_A,F_A,A_5,A,Ammonium,5,20,F,A,G30Y77,2A,G30Y77_exp2A,232,75,0,Low
78,23,7_26_22,1,B,1,0,C6,C6,-0.00347,-0.047048562,0.047048562,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5_30_F_A,F_A,A_5,A,Ammonium,5,30,F,A,G33Y94,1B,G33Y94_exp1B,167,44,0,Low
79,23,08_20_22,2,B,1,0,C6,C6,-0.00551,-0.047174971,0.047174971,A_5_30_F_A,A_5_30_F,2.6645,10.267,A_5_30_F_A,F_A,A_5,A,Ammonium,5,30,F,A,G29Y70,2B,G29Y70_exp2B,170,109,0,Low
80,22,7_26_22,1,B,3,0,B6,B6,-0.00329,-0.047322927,0.047322927,N_18_30_F_S,N_18_30_F,11.664,8.8355,N_18_30_F_S,F_S,N_18,N,Nitrate,18,30,F,S,R21W100,1B,R21W100_exp1B,163,55,0,Elevated
81,12,7_26_22,1,A,1,0,D3,D3,-0.00293,-0.047530762,0.047530762,N_0_20_F_S,N_0_20_F,1.214,4.6815,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B14G21,1A,B14G21_exp1A,153,1,0,Low
82,23,09_05_22,3,B,3,0,C6,C6,-0.00668,-0.047758858,0.047758858,N_18_30_S_A,N_18_30_S,17.905,15.95375,N_18_30_S_A,S_A,N_18,N,Nitrate,18,30,S,A,W16O73,3B,W16O73_exp3B,241,184,0,Elevated
83,9,09_05_22,3,B,2,1,A3,A3,-0.00286,-0.047774835,0.047774835,N_1.5_20_S_A,N_1.5_20_S,3.57675,7.60225,N_1.5_20_S_A,S_A,N_1.5,N,Nitrate,1.5,20,S,A,O8G8,3B,O8G8_exp3B,238,176,0,Low
84,5,08_15_22,2,A,2,1,A2,A2,-0.00279,-0.047941039,0.047941039,A_5_30_S_A,A_5_30_S,3.08375,19.91575,A_5_30_S_A,S_A,A_5,A,Ammonium,5,30,S,A,G38Y36,2A,G38Y36_exp2A,175,80,0,Low
85,17,7_26_22,1,B,1,1,A5,A5,-0.00298,-0.048432338,0.048432338,N_0_30_F_S,N_0_30_F,1.5285,13.0625,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B29G71,1B,B29G71_exp1B,171,39,0,Low
86,11,7_26_22,1,A,2,0,C3,C3,-0.00282,-0.048507601,0.048507601,N_1.5_30_F_S,N_1.5_30_F,2.5815,11.0275,N_1.5_30_F_S,F_S,N_1.5,N,Nitrate,1.5,30,F,S,G28Y64,1A,G28Y64_exp1A,142,11,0,Low
87,17,08_15_22,2,A,2,1,A5,A5,-0.00322,-0.04859749,0.04859749,A_7.5_20_S_A,A_7.5_20_S,2.461,13.123,A_7.5_20_S_A,S_A,A_7.5,A,Ammonium,7.5,20,S,A,Y8B47,2A,Y8B47_exp2A,233,96,0,Low
88,5,09_05_22,3,B,1,1,A2,A2,-0.00325,-0.048722678,0.048722678,A_0_20_F_S,A_0_20_F,3.023,4.275,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,O3B17,3B,O3B17_exp3B,252,161,0,Low
89,8,09_05_22,3,B,1,0,D2,D2,-0.00511,-0.048947417,0.048947417,A_0_30_F_S,A_0_30_F,2.3655,16.977,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,W3O15,3B,W3O15_exp3B,248,188,0,Low
90,14,08_15_22,2,A,2,0,B4,B4,-0.00188,-0.049037021,0.049037021,A_7.5_20_F_A,A_7.5_20_F,3.24,11.789,A_7.5_20_F_A,F_A,A_7.5,A,Ammonium,7.5,20,F,A,Y7B40,2A,Y7B40_exp2A,195,95,0,Low
91,19,09_05_22,3,B,2,1,C5,C5,-0.00617,-0.04921182,0.04921182,A_7.5_30_F_A,A_7.5_30_F,2.424,14.952,A_7.5_30_F_A,F_A,A_7.5,A,Ammonium,7.5,30,F,A,W13O57,3B,W13O57_exp3B,247,181,0,Low
92,4,08_15_22,2,A,2,0,D1,D1,-0.0022,-0.049422545,0.049422545,A_5_30_S_A,A_5_30_S,3.08375,19.91575,A_5_30_S_A,S_A,A_5,A,Ammonium,5,30,S,A,G38Y35,2A,G38Y35_exp2A,221,80,0,Low
93,20,08_15_22,2,A,2,0,D5,D5,-0.00249,-0.049460207,0.049460207,A_7.5_30_S_A,A_7.5_30_S,3.125,19.2815,A_7.5_30_S_A,S_A,A_7.5,A,Ammonium,7.5,30,S,A,Y23B2009,2A,Y23B2009_exp2A,226,92,0,Low
94,20,7_26_22,1,B,1,0,D5,D5,-0.00238,-0.049490708,0.049490708,A_5_20_F_S,A_5_20_F,2.518,13.433,A_5_20_F_S,F_S,A_5,A,Ammonium,5,20,F,S,G35Y23,1B,G35Y23_exp1B,166,46,0,Low
95,4,7_26_22,1,B,1,0,D1,D1,-0.00185,-0.049704348,0.049704348,A_0_20_F_S,A_0_20_F,3.023,4.275,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B26G51,1B,B26G51_exp1B,166,37,0,Low
96,6,7_26_22,1,B,2,1,B2,B2,-0.00245,-0.049727235,0.049727235,N_1.5_20_F_A,N_1.5_20_F,4.4475,3.631,N_1.5_20_F_A,F_A,N_1.5,N,Nitrate,1.5,20,F,A,G30Y76,1B,G30Y76_exp1B,169,43,0,Low
97,10,7_26_22,1,B,2,1,B3,B3,-0.00272,-0.04987734,0.04987734,N_1.5_30_F_A,N_1.5_30_F,2.5815,11.0275,N_1.5_30_F_A,F_A,N_1.5,N,Nitrate,1.5,30,F,A,G23Y5017,1B,G23Y5017_exp1B,165,41,0,Low
