num,date,exp_num,exp_subrun,resp_run,e_coli_plate,vial_ID,vial_id_copy_pasted,resp_rate,resp_rate_SA_corr,abs_resp_rate_SA_corr,treat_ID_full,treat_ID_collapsed_controls,food_sym_state,N_species_dose,N_species,control_or_nutrient,N_dose,temp,food,sym_state,beetag,exp_run_full,beetag_exprun,col_num,jar_unique_ID,broken_or_damaged
4,7_26_22,1,B,1,0,D1,D1,-0.00185,-0.049704348,0.049704348,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B26G51,1B,B26G51_exp1B,166,37,0
5,7_26_22,1,B,1,1,A2,A2,-0.00201,-0.059218376,0.059218376,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B26G52,1B,B26G52_exp1B,173,37,0
4,08_15_22,2,A,1,0,D1,D1,-0.00594,-0.119035998,0.119035998,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B23G36,2A,B23G36_exp2A,193,67,0
5,08_15_22,2,A,1,1,A2,A2,-0.00696,-0.160821358,0.160821358,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B23G37,2A,B23G37_exp2A,220,67,0
4,08_20_22,2,B,1,0,D1,D1,-0.00282,-0.131669433,0.131669433,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B27G56,2B,B27G56_exp2B,211,99,0
5,08_20_22,2,B,1,1,A2,A2,-0.00425,-0.146050989,0.146050989,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B27G57,2B,B27G57_exp2B,226,99,0
5,09_01_22,3,A,1,1,A2,A2,-0.00414,-0.089653481,0.089653481,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,B23G37,3A,B23G37_exp3A,241,131,0
4,09_05_22,3,B,1,0,D1,D1,-0.00443,-0.064186463,0.064186463,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,O3B15,3B,O3B15_exp3B,247,173,0
5,09_05_22,3,B,1,1,A2,A2,-0.00325,-0.048722678,0.048722678,A_0_20_F_S,CNTRL_0_20_F_S,F_S,CNTRL_0,CNTRL,Control,0,20,F,S,O3B17,3B,O3B17_exp3B,252,161,0
6,7_26_22,1,A,1,1,B2,B2,-0.00298,-0.069207506,0.069207506,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B34G100,1A,B34G100_exp1A,146,8,0
5,7_26_22,1,A,1,0,A2,A2,-0.00265,-0.044656868,0.044656868,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B34G97,1A,B34G97_exp1A,162,8,0
5,7_26_22,1,B,1,0,A2,A2,-0.00356,-0.080115779,0.080115779,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B28G58,1B,B28G58_exp1B,168,38,0
6,7_26_22,1,B,1,1,B2,B2,-0.00107,-0.043754215,0.043754215,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B28G60,1B,B28G60_exp1B,187,38,0
6,08_15_22,2,A,1,1,B2,B2,-0.00532,-0.156722651,0.156722651,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B24G39,2A,B24G39_exp2A,210,68,0
5,08_20_22,2,B,1,0,A2,A2,-0.0042,-0.080429356,0.080429356,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B30G72,2B,B30G72_exp2B,215,100,0
6,08_20_22,2,B,1,1,B2,B2,-0.00606,-0.086258968,0.086258968,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B30G73,2B,B30G73_exp2B,171,100,0
5,09_01_22,3,A,1,0,A2,A2,-0.00293,-0.059052104,0.059052104,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B24G38,3A,B24G38_exp3A,235,132,0
6,09_01_22,3,A,1,1,B2,B2,-0.00095,-0.039160314,0.039160314,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,B24G40,3A,B24G40_exp3A,237,132,0
5,09_05_22,3,B,1,0,A2,A2,-0.0041,-0.078687477,0.078687477,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,O4B21,3B,O4B21_exp3B,242,174,0
6,09_05_22,3,B,1,1,B2,B2,-0.00333,-0.039731284,0.039731284,A_0_20_S_A,CNTRL_0_20_S_A,S_A,CNTRL_0,CNTRL,Control,0,20,S,A,O4B22,3B,O4B22_exp3B,247,174,0
6,7_26_22,1,A,1,0,B2,B2,-0.003,-0.044037176,0.044037176,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B34G3106,1A,B34G3106_exp1A,144,8,0
7,7_26_22,1,A,1,1,C2,C2,-0.00378,-0.061849482,0.061849482,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B34G3310,1A,B34G3310_exp1A,153,8,0
6,7_26_22,1,B,1,0,B2,B2,-0.00529,-0.080367823,0.080367823,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B28G62,1B,B28G62_exp1B,167,38,0
7,7_26_22,1,B,1,1,C2,C2,-0.00348,-0.083088636,0.083088636,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B28G63,1B,B28G63_exp1B,182,38,0
6,08_15_22,2,A,1,0,B2,B2,-0.00357,-0.148060515,0.148060515,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B24G41,2A,B24G41_exp2A,201,68,0
7,08_15_22,2,A,1,1,C2,C2,-0.00631,-0.170416375,0.170416375,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B24G42,2A,B24G42_exp2A,222,68,0
6,08_20_22,2,B,1,0,B2,B2,-0.00269,-0.074392503,0.074392503,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B30G75,2B,B30G75_exp2B,217,100,0
7,08_20_22,2,B,1,1,C2,C2,-0.00376,-0.11439849,0.11439849,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B30G76,2B,B30G76_exp2B,233,100,0
6,09_01_22,3,A,1,0,B2,B2,-0.00401,-0.087414988,0.087414988,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B24G41,3A,B24G41_exp3A,240,132,0
7,09_01_22,3,A,1,1,C2,C2,-0.00472,-0.067488558,0.067488558,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,B24G42,3A,B24G42_exp3A,241,132,0
6,09_05_22,3,B,1,0,B2,B2,-0.00509,-0.081344918,0.081344918,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,O4B24,3B,O4B24_exp3B,254,174,0
7,09_05_22,3,B,1,1,C2,C2,-0.0069,-0.059452658,0.059452658,A_0_20_S_S,CNTRL_0_20_S_S,S_S,CNTRL_0,CNTRL,Control,0,20,S,S,O4B25,3B,O4B25_exp3B,250,174,0
8,7_26_22,1,A,1,1,D2,D2,-0.00448,-0.112395863,0.112395863,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B31G77,1A,B31G77_exp1A,160,6,0
7,7_26_22,1,A,1,0,C2,C2,-0.00086,-0.028637709,0.028637709,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B31G78,1A,B31G78_exp1A,144,6,0
7,7_26_22,1,B,1,0,C2,C2,-0.00317,-0.053979666,0.053979666,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B13G2,1B,B13G2_exp1B,167,33,0
8,7_26_22,1,B,1,1,D2,D2,-0.00234,-0.054029232,0.054029232,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B13G8,1B,B13G8_exp1B,184,33,0
7,08_15_22,2,A,1,0,C2,C2,-0.00683,-0.167931045,0.167931045,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B28G59,2A,B28G59_exp2A,210,71,0
8,08_15_22,2,A,1,1,D2,D2,-0.00321,-0.083913466,0.083913466,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B28G60,2A,B28G60_exp2A,232,71,0
7,08_20_22,2,B,1,0,C2,C2,-0.0078,-0.03680397,0.03680397,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B33G90,2B,B33G90_exp2B,170,103,0
8,08_20_22,2,B,1,1,D2,D2,-0.00379,-0.04025387,0.04025387,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B33G92,2B,B33G92_exp2B,213,103,0
7,09_01_22,3,A,1,0,C2,C2,-0.00265,-0.043768181,0.043768181,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B28G58,3A,B28G58_exp3A,235,135,0
8,09_01_22,3,A,1,1,D2,D2,-0.00402,-0.165903042,0.165903042,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,B28G60,3A,B28G60_exp3A,237,135,0
7,09_05_22,3,B,1,0,C2,C2,-0.00442,-0.06151389,0.06151389,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,W3O13,3B,W3O13_exp3B,242,188,0
8,09_05_22,3,B,1,1,D2,D2,-0.00624,-0.075418036,0.075418036,A_0_30_F_A,CNTRL_0_30_F_A,F_A,CNTRL_0,CNTRL,Control,0,30,F,A,W3O14,3B,W3O14_exp3B,245,188,0
8,7_26_22,1,A,1,0,D2,D2,-0.00285,-0.036414468,0.036414468,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B31G79,1A,B31G79_exp1A,144,6,0
9,7_26_22,1,A,1,1,A3,A3,-0.00579,-0.036166859,0.036166859,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B31G82,1A,B31G82_exp1A,155,6,0
8,7_26_22,1,B,1,0,D2,D2,-0.00427,-0.106007159,0.106007159,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B13G10,1B,B13G10_exp1B,167,33,0
9,7_26_22,1,B,1,1,A3,A3,-0.00264,-0.129313748,0.129313748,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B13G13,1B,B13G13_exp1B,178,33,0
8,08_15_22,2,A,1,0,D2,D2,-0.00542,-0.10791498,0.10791498,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B28G62,2A,B28G62_exp2A,198,71,0
9,08_15_22,2,A,1,1,A3,A3,-0.00326,-0.09451913,0.09451913,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B28G63,2A,B28G63_exp2A,220,71,0
8,08_20_22,2,B,1,0,D2,D2,-0.00263,-0.065238671,0.065238671,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B33G93,2B,B33G93_exp2B,196,103,0
9,08_20_22,2,B,1,1,A3,A3,-0.00502,-0.060145569,0.060145569,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B33G95,2B,B33G95_exp2B,226,103,0
8,09_01_22,3,A,1,0,D2,D2,-0.00305,-0.052846542,0.052846542,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B28G62,3A,B28G62_exp3A,240,135,0
9,09_01_22,3,A,1,1,A3,A3,-0.00801,-0.071623512,0.071623512,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,B28G63,3A,B28G63_exp3A,241,135,0
8,09_05_22,3,B,1,0,D2,D2,-0.00511,-0.048947417,0.048947417,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,W3O15,3B,W3O15_exp3B,248,188,0
9,09_05_22,3,B,1,1,A3,A3,-0.0032,-0.064537326,0.064537326,A_0_30_F_S,CNTRL_0_30_F_S,F_S,CNTRL_0,CNTRL,Control,0,30,F,S,W3O17,3B,W3O17_exp3B,252,188,0
11,7_26_22,1,A,1,1,C3,C3,-0.00384,-0.082548858,0.082548858,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B33G90,1A,B33G90_exp1A,155,7,0
10,7_26_22,1,A,1,0,B3,B3,-0.00177,-0.040639849,0.040639849,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B33G92,1A,B33G92_exp1A,154,7,0
10,7_26_22,1,B,1,0,B3,B3,-0.00299,-0.076755363,0.076755363,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B25G44,1B,B25G44_exp1B,181,36,0
11,7_26_22,1,B,1,1,C3,C3,-0.0011,-0.056790744,0.056790744,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B25G45,1B,B25G45_exp1B,187,36,0
9,08_15_22,2,A,1,0,A3,A3,-0.00312,-0.095361292,0.095361292,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B29G64,2A,B29G64_exp2A,198,72,0
10,08_15_22,2,A,1,1,B3,B3,-0.00297,-0.052223721,0.052223721,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B29G65,2A,B29G65_exp2A,221,72,0
9,08_20_22,2,B,1,0,A3,A3,-0.00246,-0.030655281,0.030655281,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B34G100,2B,B34G100_exp2B,224,104,0
10,08_20_22,2,B,1,1,B3,B3,-0.00586,-0.087078377,0.087078377,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B34G97,2B,B34G97_exp2B,178,104,0
9,09_01_22,3,A,1,0,A3,A3,-0.00318,-0.094375365,0.094375365,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B29G64,3A,B29G64_exp3A,237,136,0
10,09_01_22,3,A,1,1,B3,B3,-0.00455,-0.132038698,0.132038698,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,B29G65,3A,B29G65_exp3A,237,136,0
9,09_05_22,3,B,1,0,A3,A3,-0.00431,-0.090711658,0.090711658,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,W4O21,3B,W4O21_exp3B,242,189,0
10,09_05_22,3,B,1,1,B3,B3,-0.00448,-0.06849735,0.06849735,A_0_30_S_A,CNTRL_0_30_S_A,S_A,CNTRL_0,CNTRL,Control,0,30,S,A,W4O22,3B,W4O22_exp3B,250,189,0
10,7_26_22,1,A,1,1,B3,B3,-0.00261,-0.046742469,0.046742469,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B33G93,1A,B33G93_exp1A,144,7,0
9,7_26_22,1,A,1,0,A3,A3,-0.00826,-0.09676817,0.09676817,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B33G95,1A,B33G95_exp1A,157,7,0
9,7_26_22,1,B,1,0,A3,A3,-0.00146,-0.035602754,0.035602754,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B25G46,1B,B25G46_exp1B,167,36,0
10,7_26_22,1,B,1,1,B3,B3,-0.00439,-0.060279868,0.060279868,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B25G47,1B,B25G47_exp1B,182,36,0
10,08_15_22,2,A,1,0,B3,B3,-0.00815,-0.13496355,0.13496355,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B29G70,2A,B29G70_exp2A,205,72,0
10,08_20_22,2,B,1,0,B3,B3,-0.00248,-0.044756812,0.044756812,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B34G3106,2B,B34G3106_exp2B,198,104,0
11,08_20_22,2,B,1,1,C3,C3,-0.00392,-0.057410265,0.057410265,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B34G3409,2B,B34G3409_exp2B,233,104,0
10,09_01_22,3,A,1,0,B3,B3,-0.00558,-0.076530534,0.076530534,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B29G70,3A,B29G70_exp3A,240,136,0
11,09_01_22,3,A,1,1,C3,C3,-0.00892,-0.07640834,0.07640834,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,B29G71,3A,B29G71_exp3A,241,136,0
10,09_05_22,3,B,1,0,B3,B3,-0.00352,-0.085597999,0.085597999,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,W4O23,3B,W4O23_exp3B,245,189,0
11,09_05_22,3,B,1,1,C3,C3,-0.00698,-0.073120982,0.073120982,A_0_30_S_S,CNTRL_0_30_S_S,S_S,CNTRL_0,CNTRL,Control,0,30,S,S,W4O24,3B,W4O24_exp3B,255,189,0
9,7_26_22,1,A,3,1,A3,A3,-0.00437,-0.153604196,0.153604196,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,R7W35,1A,R7W35_exp1A,153,23,0
9,7_26_22,1,A,3,0,A3,A3,-0.00296,-0.09646691,0.09646691,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,R7W36,1A,R7W36_exp1A,144,23,0
9,7_26_22,1,B,3,0,A3,A3,-0.00454,-0.101928816,0.101928816,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,R13W63,1B,R13W63_exp1B,178,51,0
9,7_26_22,1,B,3,1,A3,A3,-0.0062,-0.11440956,0.11440956,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,R13W64,1B,R13W64_exp1B,184,51,0
9,08_15_22,2,A,3,0,A3,A3,-0.00314,-0.075772303,0.075772303,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,R11W50,2A,R11W50_exp2A,196,83,0
9,08_15_22,2,A,3,1,A3,A3,-0.00504,-0.138786975,0.138786975,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,R11W51,2A,R11W51_exp2A,210,83,0
9,08_20_22,2,B,3,0,A3,A3,-0.00398,-0.095655223,0.095655223,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,R5W21,2B,R5W21_exp2B,170,117,0
9,08_20_22,2,B,3,1,A3,A3,-0.00358,-0.11994229,0.11994229,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,R5W22,2B,R5W22_exp2B,213,117,0
9,09_01_22,3,A,3,0,A3,A3,-0.00414,-0.066711226,0.066711226,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,R11W50,3A,R11W50_exp3A,235,147,0
9,09_01_22,3,A,3,1,A3,A3,-0.00357,-0.10488483,0.10488483,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,R11W51,3A,R11W51_exp3A,237,147,0
9,09_05_22,3,B,3,0,A3,A3,-0.00596,-0.161186873,0.161186873,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,O21W39,3B,O21W39_exp3B,242,171,0
9,09_05_22,3,B,3,1,A3,A3,-0.00705,-0.142385444,0.142385444,A_10_20_F_A,A_10_20_F_A,F_A,A_10,A,Ammonium,10,20,F,A,O21W40,3B,O21W40_exp3B,245,171,0
10,7_26_22,1,A,3,0,B3,B3,-0.00584,-0.141685101,0.141685101,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,R7W37,1A,R7W37_exp1A,143,23,0
10,7_26_22,1,A,3,1,B3,B3,-0.01477,-0.064021807,0.064021807,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,R7W38,1A,R7W38_exp1A,152,23,0
10,7_26_22,1,B,3,0,B3,B3,-0.00962,-0.122457266,0.122457266,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,R13W65,1B,R13W65_exp1B,167,51,0
10,7_26_22,1,B,3,1,B3,B3,-0.00317,-0.051573327,0.051573327,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,R13W67,1B,R13W67_exp1B,176,51,0
10,08_15_22,2,A,3,0,B3,B3,-0.0025,-0.072064874,0.072064874,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,R11W53,2A,R11W53_exp2A,198,83,0
10,08_15_22,2,A,3,1,B3,B3,-3.72E-03,-0.13131533,0.13131533,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,R11W54,2A,R11W54_exp2A,220,83,0
10,08_20_22,2,B,3,0,B3,B3,-0.00089,-0.090328546,0.090328546,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,R5W24,2B,R5W24_exp2B,196,117,0
10,08_20_22,2,B,3,1,B3,B3,-0.00871,-0.117873806,0.117873806,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,R5W27,2B,R5W27_exp2B,182,117,0
10,09_01_22,3,A,3,0,B3,B3,-0.00404,-0.094899989,0.094899989,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,R11W53,3A,R11W53_exp3A,240,147,0
10,09_01_22,3,A,3,1,B3,B3,-0.00522,-0.122127602,0.122127602,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,R11W54,3A,R11W54_exp3A,241,147,0
10,09_05_22,3,B,3,0,B3,B3,-0.00301,-0.101339864,0.101339864,A_10_20_F_S,A_10_20_F_S,F_S,A_10,A,Ammonium,10,20,F,S,O21W42,3B,O21W42_exp3B,252,171,0
